epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,55641.5,0.62796,1.22948,0.6037,1.03555,0.71026,0.80924,0.80576,0.70616,0.7055,0.80336,0.79536,0.6719,0.51561,1.09958,0.8201,0.85786,0.007129,0.007129,0.007129
31,56294.8,0.62212,1.21763,0.59546,1.03187,0.70276,0.83761,0.80452,0.70105,0.69974,0.83649,0.79603,0.67056,0.5125,1.12453,0.81761,0.85734,0.00703,0.00703,0.00703
32,56947.7,0.62149,1.20469,0.60181,1.03004,0.70832,0.83092,0.80729,0.70764,0.70445,0.82637,0.7996,0.67727,0.51308,1.11652,0.8106,0.85855,0.006931,0.006931,0.006931
33,57601,0.61384,1.21037,0.59254,1.02637,0.7089,0.82956,0.80973,0.71177,0.70945,0.82438,0.80332,0.67954,0.51131,1.13897,0.8201,0.85443,0.006832,0.006832,0.006832
34,58254.9,0.61311,1.19641,0.58706,1.02688,0.71879,0.83422,0.813,0.71597,0.71501,0.83119,0.80609,0.6815,0.50238,1.12128,0.80567,0.8485,0.006733,0.006733,0.006733
35,58911.4,0.61155,1.18474,0.59335,1.02369,0.71646,0.8378,0.81753,0.72037,0.71387,0.83477,0.81134,0.68561,0.49704,1.1069,0.79296,0.84242,0.006634,0.006634,0.006634
36,59566.5,0.60597,1.18156,0.5794,1.02242,0.72305,0.83573,0.8199,0.72133,0.72236,0.8351,0.81336,0.68714,0.49308,1.13211,0.78619,0.83921,0.006535,0.006535,0.006535
37,60220.4,0.60303,1.16852,0.57322,1.0201,0.72272,0.84103,0.8198,0.72086,0.7208,0.83952,0.81268,0.68689,0.48703,1.08985,0.78602,0.83417,0.006436,0.006436,0.006436
38,61984.2,0.60432,1.16927,0.5814,1.01955,0.7242,0.84179,0.82046,0.72258,0.72365,0.84103,0.8147,0.68649,0.48855,1.07304,0.78905,0.83477,0.006337,0.006337,0.006337
39,62641.7,0.59601,1.15294,0.57052,1.01792,0.72485,0.84158,0.82048,0.72284,0.72159,0.83779,0.81243,0.68713,0.48652,1.07691,0.78311,0.83067,0.006238,0.006238,0.006238
40,63297.4,0.59379,1.14058,0.56113,1.01625,0.72357,0.84481,0.82191,0.72356,0.71842,0.84209,0.81293,0.68751,0.48455,1.07649,0.77702,0.82817,0.006139,0.006139,0.006139
41,63951.1,0.59082,1.13893,0.56096,1.01329,0.72156,0.84784,0.82269,0.72359,0.7177,0.8433,0.81277,0.68809,0.4823,1.06996,0.7748,0.8255,0.00604,0.00604,0.00604
42,64605.2,0.58875,1.13633,0.55535,1.01298,0.72103,0.84523,0.8221,0.72316,0.71658,0.84481,0.81436,0.68799,0.48357,1.05889,0.7829,0.82555,0.005941,0.005941,0.005941
43,65260.1,0.58719,1.12844,0.56003,1.011,0.72026,0.84786,0.82247,0.72336,0.71638,0.84557,0.81406,0.68846,0.48116,1.0589,0.78413,0.82424,0.005842,0.005842,0.005842
